commodity_id,date,min_wholesale_price,max_wholesale_price,unit
5,2013-09-29,1263.0,1263.0,Quintal
1,2013-09-30,10261.0,10261.0,100 Liters
4,2013-09-30,4880.0,4880.0,Quintal
3,2013-09-30,5000.0,5000.0,100 Liters
5,2013-09-30,1263.0,1263.0,Quintal
1,2013-01-10,10261.0,10261.0,100 Liters
4,2013-01-10,5210.0,5210.0,Quintal
3,2013-01-10,5000.0,5000.0,100 Liters
5,2013-01-10,1263.0,1263.0,Quintal
6,2013-02-10,2282.0,2282.0,Quintal
1,2013-02-10,10230.0,10230.0,100 Liters
4,2013-02-10,4862.0,4862.0,Quintal
3,2013-02-10,5100.0,5100.0,100 Liters
5,2013-02-10,1318.0,1318.0,Quintal
1,2013-03-10,9987.0,9987.0,100 Liters
4,2013-03-10,5570.0,5570.0,Quintal
3,2013-03-10,5000.0,5000.0,100 Liters
5,2013-03-10,1263.0,1263.0,Quintal
1,2013-06-10,10163.0,10163.0,100 Liters
4,2013-06-10,6573.0,6573.0,Quintal
3,2013-06-10,5000.0,5000.0,100 Liters
5,2013-06-10,1238.0,1238.0,Quintal
1,2013-07-10,10387.0,10387.0,100 Liters
