date,Boro-Fine_min_wholesale_price,Boro-Fine_max_wholesale_price,Boro-Fine_unit,Soybean Oil(loose)_min_wholesale_price,Soybean Oil(loose)_max_wholesale_price,Soybean Oil(loose)_unit,Green Chili (Local)_min_wholesale_price,Green Chili (Local)_max_wholesale_price,Green Chili (Local)_unit,Cow Milk (liquid)_min_wholesale_price,Cow Milk (liquid)_max_wholesale_price,Cow Milk (liquid)_unit,Egg Farm-Red_min_wholesale_price,Egg Farm-Red_max_wholesale_price,Egg Farm-Red_unit,Potato (Local) - Old_min_wholesale_price,Potato (Local) - Old_max_wholesale_price,Potato (Local) - Old_unit
2013-07-22,,,,10719.0,10719.0,100 Liters,8113.0,8113.0,Quintal,5000.0,5000.0,100 Liters,759.0,759.0,100 pieces,1300.0,1300.0,Quintal
2013-07-23,,,,10775.0,10775.0,100 Liters,8111.0,8111.0,Quintal,5000.0,5000.0,100 Liters,743.0,743.0,100 pieces,1300.0,1300.0,Quintal
2013-07-24,2176.0,2176.0,Quintal,10860.0,10860.0,100 Liters,6858.0,6858.0,Quintal,5083.0,5083.0,100 Liters,754.0,754.0,100 pieces,1511.0,1511.0,Quintal
2013-07-25,,,,10754.0,10754.0,100 Liters,6960.0,6960.0,Quintal,5000.0,5000.0,100 Liters,737.0,737.0,100 pieces,1250.0,1250.0,Quintal
2013-07-28,,,,10892.0,10892.0,100 Liters,5883.0,5883.0,Quintal,5000.0,5000.0,100 Liters,734.0,734.0,100 pieces,1300.0,1300.0,Quintal
2013-07-29,,,,10733.0,10733.0,100 Liters,5891.0,5891.0,Quintal,5000.0,5000.0,100 Liters,738.0,738.0,100 pieces,1300.0,1300.0,Quintal
2013-07-30,,,,10869.0,10869.0,100 Liters,5764.0,5764.0,Quintal,5000.0,5000.0,100 Liters,740.0,740.0,100 pieces,1200.0,1200.0,Quintal
2013-07-31,2203.0,2203.0,Quintal,10808.0,10808.0,100 Liters,5132.0,5132.0,Quintal,5000.0,5000.0,100 Liters,731.0,731.0,100 pieces,1390.0,1390.0,Quintal
2013-08-01,,,,10787.0,10787.0,100 Liters,5325.0,5325.0,Quintal,5000.0,5000.0,100 Liters,728.0,728.0,100 pieces,1200.0,1200.0,Quintal
2013-08-04,,,,10802.0,10802.0,100 Liters,5158.0,5158.0,Quintal,5000.0,5000.0,100 Liters,729.0,729.0,100 pieces,1293.0,1293.0,Quintal
2013-08-05,,,,10810.0,10810.0,100 Liters,5517.0,5517.0,Quintal,5000.0,5000.0,100 Liters,731.0,731.0,100 pieces,1293.0,1293.0,Quintal
2013-08-06,,,,10500.0,10500.0,100 Liters,5500.0,5500.0,Quintal,,,,730.0,730.0,100 pieces,,,
2013-08-07,2176.0,2176.0,Quintal,10725.0,10725.0,100 Liters,5033.0,5033.0,Quintal,5400.0,5400.0,100 Liters,749.0,749.0,100 pieces,1527.0,1527.0,Quintal
