date,buffalo calf leather_avg_retail_price,buffalo calf leather_avg_wholesale_price,buffalo leather (heavy)_avg_retail_price,buffalo leather (heavy)_avg_wholesale_price,buffalo leather (light)_avg_retail_price,buffalo leather (light)_avg_wholesale_price,buffalo leather (medium)_avg_retail_price,buffalo leather (medium)_avg_wholesale_price,buffalo leather (ripped)_avg_retail_price,buffalo leather (ripped)_avg_wholesale_price,calf leather (medium) - salt mixed_avg_retail_price,calf leather (medium) - salt mixed_avg_wholesale_price,calf leather - salt mixed_avg_retail_price,calf leather - salt mixed_avg_wholesale_price,cow leather (heavy) - salt mixed_avg_retail_price,cow leather (heavy) - salt mixed_avg_wholesale_price,cow leather (light) - salt mixed_avg_retail_price,cow leather (light) - salt mixed_avg_wholesale_price,cow leather (ripped) - salt mixed_avg_retail_price,cow leather (ripped) - salt mixed_avg_wholesale_price,goat leather_avg_retail_price,goat leather_avg_wholesale_price,ram leather_sheep leather_avg_retail_price,ram leather_sheep leather_avg_wholesale_price
2013-07-11,,,,,,160000.0,,80000.0,,,,95000.0,,,,160000.0,,50000.0,,,,22500.0,,18000.0
2013-07-12,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-13,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-14,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-07-15,,,,,,,,,,,,70000.0,,,,120000.0,,40000.0,,,,10000.0,,
2013-07-16,,,,,,,,,,,,70000.0,,,,150000.0,,40000.0,,,,10000.0,,
2013-07-17,850.0,,1716.5,182000.0,600.0,110000.0,950.0,120000.0,,40000.0,1372.0,146250.0,583.0,166250.0,2069.0,384444.0,956.5,82857.0,683.0,50000.0,204.5,24500.0,150.5,20400.0
2013-07-18,,,,,,,,,,,,70000.0,,,,150000.0,,40000.0,,,,10000.0,,
2013-07-19,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-20,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-21,,,,,,,,,,,,70000.0,,,,150000.0,,40000.0,,,,10000.0,,
2013-07-22,,,,,,160000.0,,80000.0,,,,95000.0,,,,175000.0,,50000.0,,,,10000.0,,
2013-07-23,,,,,,,,,,,,70000.0,,,,120000.0,,500000.0,,,,10000.0,,
2013-07-24,850.0,,1733.0,176500.0,600.0,110000.0,1366.5,120000.0,,40000.0,1478.5,143333.0,712.5,145800.0,2200.5,346364.0,1021.5,143000.0,783.5,28750.0,215.0,22091.0,164.5,18833.0
2013-07-25,,,,,,,,,,,,70000.0,,,,120000.0,,500000.0,,,,10000.0,,
2013-07-26,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-27,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-28,,,,,,,,,,,,70000.0,,,,120000.0,,500000.0,,,,10000.0,,
2013-07-29,,,,,,,,,,,,70000.0,,,,120000.0,,500000.0,,,,10000.0,,
2013-07-30,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,7000.0,,
2013-07-31,722.5,64000.0,1733.0,166500.0,825.0,85000.0,1563.0,156667.0,,40000.0,1519.0,144286.0,712.5,166250.0,2275.0,380000.0,1046.0,86667.0,783.5,50000.0,215.0,21500.0,164.5,19400.0
2013-08-01,,,,,,170000.0,,75000.0,,,,44000.0,,,,170000.0,,80000.0,,,,7000.0,,
2013-08-02,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-03,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-04,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,7000.0,,
2013-08-05,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,7000.0,,
2013-08-06,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-07,850.0,,1733.0,166500.0,600.0,115000.0,1366.5,111667.0,,40000.0,1519.0,114356.0,712.5,166250.0,2275.0,332891.0,1046.0,90000.0,783.5,25300.0,215.5,19564.0,164.5,19400.0
2013-08-08,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-09,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-10,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-11,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-08-12,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-08-13,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-08-14,850.0,,1733.0,166500.0,600.0,115000.0,1366.5,111667.0,,40000.0,1516.5,114356.0,712.5,166250.0,2233.5,331073.0,1053.0,90000.0,783.5,25300.0,212.5,19836.0,167.5,19400.0
2013-08-15,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-16,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-17,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-18,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-08-19,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-08-20,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-08-21,850.0,,1700.0,206667.0,600.0,115000.0,1266.5,105000.0,,,1366.5,124436.0,675.0,120917.0,2005.5,328483.0,909.5,98750.0,725.0,28533.0,181.0,20836.0,146.5,19500.0
2013-08-22,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-08-23,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-24,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-25,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-08-26,,,,,,,,,,,,80000.0,,,,140000.0,,50000.0,,,,10000.0,,
2013-08-27,,,,,,,,,,,,80000.0,,,,140000.0,,50000.0,,,,10000.0,,
2013-08-28,,,1700.0,180000.0,600.0,60000.0,1350.0,80000.0,,,1542.5,163333.0,665.0,201667.0,2121.0,615000.0,854.5,93333.0,900.0,,205.0,21000.0,176.0,19000.0
2013-08-29,850.0,,1800.0,163000.0,,170000.0,1100.0,75000.0,,40000.0,1225.0,69700.0,750.0,500.0,1987.5,152950.0,1025.0,80000.0,550.0,600.0,165.0,11050.0,120.0,20000.0
2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-31,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-01,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,7000.0,,
2013-09-02,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,7000.0,,
2013-09-03,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-09-04,850.0,,1733.0,181500.0,600.0,60000.0,1266.5,120000.0,,40000.0,1460.0,152222.0,679.5,145000.0,2120.0,372000.0,975.0,100000.0,783.5,42500.0,191.5,21636.0,161.5,19167.0
2013-09-05,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-09-06,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-08,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-09-09,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
2013-09-10,,,,,,,,,,,,70000.0,,,,120000.0,,50000.0,,,,10000.0,,
